depth,msa-8,msa-10,msa-12,msa-14,msa-16,msa-20,msa-30,msa-32,msa-36,msa-38,msa-39,msa-40,msa-41,msa-42,msa-43,msa-46,msa-48,msa-49,msa-50
12.0,,,,,,,,,,,,,,,,,,123.508,
13.5,,,,,,,,92.106,,,,,,,,,,94.995,
15.0,,,,,,,116.742,102.237,,,,,,,,,,66.482,
16.0,,,,,,,88.74033333333334,112.368,,,,,,,,,,63.916,
17.0,,,,,,,60.738666666666674,119.58675,,,,,,,52.904,,,61.35,
18.0,,,,,,,32.737,126.8055,,,,,,,49.612750000000005,,,58.784,
18.5,,,,,,,34.945,134.02425,,,,,,,46.3215,93.45,,69.136,
19.0,,,,,,,37.153000000000006,141.243,,,,,,,43.03025,89.15925,,79.488,
20.0,,,,,,,39.361,123.92975,,,,48.74,,,39.739,84.86850000000001,57.3971625140525,89.84,
21.0,,,,,,,41.569,106.6165,,,,62.1735,,,39.33675,80.57775000000001,55.78788753521165,100.192,
21.5,,,,,,,51.7765,89.30324999999999,,,,75.607,,,38.9345,76.287,54.1786125563708,86.73375,
22.0,,,,,,,61.984,71.99,,,,89.04050000000001,,,38.532250000000005,74.52550000000001,53.25515113297365,73.2755,
23.0,,,,,,,72.1915,69.9365,,,,102.474,,,38.13,72.76400000000001,52.3316897095765,59.81725,
24.0,,,,,,,82.399,67.883,,,,87.12,,,40.00025,71.0025,49.14577284888,46.359,
24.5,,,,,,,76.04,65.8295,,,,71.766,,,41.8705,69.241,45.9598559881835,45.37425,
25.0,,,,,,,69.681,63.776,,,,56.412,,,43.74075,71.2762,44.97686515738295,44.3895,
26.0,,,,,,,63.322,67.6645,,,,41.058,,,45.611,73.3114,43.9938743265824,43.40475,
27.0,,,,,,,56.963,71.553,,,,41.0015,,,61.235,75.3466,45.7689880349439,42.42,54.703
27.5,,,,,,,61.379,75.4415,,,,40.945,,,76.859,77.3818,47.5441017433054,42.24025,53.2325
28.0,,,,,,,65.795,79.33,,,,40.8885,,,92.483,79.417,49.91159014053029,42.060500000000005,51.762
29.0,,,,,,,70.211,78.206,,,,40.832,,,108.107,82.5955,52.2790785377552,41.88075,50.2915
30.0,,,,,,,74.627,77.082,,,,41.1315,,35.092,99.2335,85.774,48.53122562244074,41.701,48.821
30.5,,,,,,,86.251,75.958,,,,41.431,,47.9055,90.36,88.9525,44.7833727071263,41.5375,45.94375
31.0,,,,,,,97.875,74.834,,,,41.7305,160.538,60.719,81.4865,92.131,39.92512413091955,41.374,43.0665
32.0,,38.914,,,,,109.499,72.5815,,,,42.03,140.4348,73.5325,72.613,83.07125,35.0668755547128,41.2105,40.18925
33.0,,38.543,,,,100.831,121.123,70.32900000000001,,,,42.22175,120.3316,86.346,70.475,74.0115,37.1431068885853,41.047,37.312
33.5,,38.172,,,,100.10225,110.79625,68.0765,,,,42.4135,100.2284,78.164,68.337,64.95175,39.2193382224578,42.1915,37.63125
34.0,,37.801,,,,99.3735,100.4695,65.824,,,,42.60525,80.12519999999999,69.982,66.19900000000001,55.892,37.66559392776915,43.336,37.9505
35.0,,37.43,,,,98.64475,90.14275,65.63675,,,,42.797,60.022,61.8,64.061,56.13575,36.1118496330805,44.4805,38.26975
36.0,,33.85075,,100.111,,97.916,79.816,65.4495,74.257,74.156,,44.489,79.56425,53.618,59.447,56.3795,42.2689982180578,45.625,38.589
36.5,,30.2715,,100.088,,86.32025,87.74425,65.26225,75.94775,75.27114285714286,,46.181,99.1065,54.538,54.833,56.62325,48.4261468030351,47.045,38.37425
37.0,,26.69225,,100.065,,74.7245,95.6725,65.075,77.6385,76.38628571428572,,47.873,118.64875,55.458,50.219,56.867,76.28341652863755,48.465,38.1595
38.0,,23.113,,100.042,,63.12875,103.60075,64.0985,79.32925,77.50142857142858,41.254,49.565,138.191,56.378,45.605,71.52,104.14068625424,49.885,37.94475
39.0,,27.066,,100.019,,51.533,111.529,63.122,81.02,78.61657142857143,52.489,47.74825,121.51175,57.298,66.51225,86.173,106.057990126348,51.305,37.73
39.5,,31.019,,94.28975,,51.58625,110.30875,62.1455,76.25725,79.73171428571429,63.724,45.9315,104.8325,57.982,87.4195,100.826,107.975293998456,51.556,38.0045
40.0,,34.971999999999994,,88.5605,,51.6395,109.0885,61.169,71.4945,80.84685714285715,74.959,44.11475,88.15325,58.666,108.32675,115.479,105.8450620501905,51.807,38.279
41.0,,38.925,,82.83125000000001,,51.69275,107.86825,60.89525,66.73175,81.962,86.194,42.298,71.474,59.35,129.234,112.64575,103.714830101925,52.058,38.5535
42.0,,38.199,,77.102,,51.746,106.648,60.6215,61.969,77.049,77.33625,38.28875,83.93275,60.034,114.61375,109.8125,105.136374239175,52.309,38.828
42.5,,37.473,,73.5355,,52.92885714285715,105.67775,60.34775,64.297,72.136,68.4785,34.2795,96.3915,64.92825,99.9935,106.97925,106.557918376425,57.99175,38.5395
43.0,,36.747,,69.969,,54.111714285714285,104.7075,60.074,66.625,67.223,59.62075,30.27025,108.85025,69.8225,85.37325,104.146,102.8086745955712,63.6745,38.251000000000005
44.0,,36.021,20.842,66.4025,,55.29457142857143,103.73725,59.81375,68.953,62.31,50.763,26.261,121.309,74.71675,70.753,104.23225,99.0594308147174,69.35725000000001,37.9625
45.0,,40.7088,24.2572,62.836,,56.477428571428575,102.767,59.5535,71.281,57.397000000000006,49.4248,49.5632,106.918,79.611,73.7956,104.3185,98.38068376047926,75.04,37.674
45.5,,45.3966,27.6724,67.0554,,57.66028571428571,103.9816,59.29325,71.5352,52.484,48.0866,72.8654,92.527,79.914,76.8382,104.40475,97.7019367062411,81.6076,47.8775
46.0,,50.0844,31.0876,71.2748,,58.84314285714286,105.1962,59.033,71.7894,47.571,46.7484,96.1676,78.136,80.217,79.8808,104.491,96.79904580061036,88.1752,58.081
46.5,,54.7722,34.5028,75.4942,196.671,60.026,106.4108,57.4726,72.04360000000001,42.658,45.4102,119.4698,63.745,80.52000000000001,82.9234,103.7068,95.89615489497965,94.7428,68.28450000000001
47.0,,59.46,37.918,79.71360000000001,173.1882,61.20885714285714,107.6254,55.9122,72.29780000000001,37.745,44.072,142.772,49.354,80.82300000000001,85.966,102.9226,94.9932639893489,101.3104,78.488
48.0,,66.7182,57.3608,83.933,149.7054,62.391714285714286,108.84,54.3518,72.552,48.0576,61.8136,145.0746,60.3452,81.126,87.67139999999999,102.1384,87.02716279994115,107.878,88.69149999999999
48.5,,73.9764,76.80359999999999,87.99180000000001,126.2226,63.57457142857143,100.8686,52.7914,71.223,58.3702,79.5552,147.3772,71.3364,82.1344,89.37679999999999,101.3542,79.0610616105334,109.57,98.895
49.0,,81.2346,96.2464,92.0506,102.7398,64.75742857142858,92.8972,51.231,69.894,68.6828,97.2968,149.6798,82.3276,83.14280000000001,91.0822,100.57,81.43763208015983,111.262,87.96549999999999
49.5,,88.4928,115.6892,96.1094,79.257,65.94028571428572,84.92580000000001,53.944,68.565,78.9954,115.0384,151.98239999999998,93.3188,84.1512,92.7876,99.448,83.81420254978627,112.954,77.036
50.0,,95.751,135.132,100.1682,91.827,67.12314285714285,76.9544,56.657,67.236,89.308,132.78,154.285,104.31,85.15960000000001,94.493,98.326,86.1907730194127,114.646,66.1065
51.0,,84.7514,123.0786,104.227,104.397,68.306,68.983,59.370000000000005,65.907,84.22500000000001,117.4352,138.523,103.5818,86.168,87.5132,97.204,79.58759494090239,116.338,55.177
51.5,,73.7518,111.0252,99.8604,116.967,66.6174,62.4448,62.083000000000006,66.8774,79.14200000000001,102.0904,122.761,102.8536,86.2624,80.5334,96.082,72.9844168623921,110.099,56.0338
52.0,96.951,62.7522,98.9718,95.4938,129.537,64.9288,55.906600000000005,64.796,67.84779999999999,74.059,86.7456,106.999,102.1254,86.3568,73.55359999999999,94.96,71.48138174289853,103.86,56.8906
52.5,89.1608,51.7526,86.91839999999999,91.1272,142.107,63.2402,49.3684,63.872600000000006,68.8182,68.976,71.4008,91.237,101.3972,86.4512,66.5738,94.1824,69.97834662340496,97.621,57.7474
53.0,81.3706,40.753,74.865,86.76060000000001,122.36,61.5516,42.830200000000005,62.949200000000005,69.7886,63.893,56.056,75.475,100.669,86.54560000000001,59.594,93.4048,68.4753115039114,91.382,58.6042
54.0,73.5804,42.692,77.54424999999999,82.394,102.613,59.863,36.292,62.0258,70.759,58.88125,61.6755,74.1095,94.694,86.64,60.42725,92.6272,68.8384045581402,85.143,59.461
54.5,65.7902,44.631,80.2235,79.37875,82.866,62.81825,49.657250000000005,61.1024,71.9462,53.8695,67.295,72.744,88.719,83.25125,61.2605,91.8496,69.201497612369,84.10249999999999,64.648
55.0,58.0,46.57,82.90275,76.3635,72.929,65.7735,63.0225,60.179,73.1334,48.85775,72.9145,71.3785,82.744,79.8625,62.09375,91.072,65.60548281787379,83.062,69.83500000000001
56.0,55.3485,48.509,85.582,73.34825000000001,62.992,68.72874999999999,76.38775,61.75625,74.3206,43.846,78.534,70.013,76.769,76.47375,62.927,85.23825,62.0094680233786,82.0215,75.022
57.0,52.697,49.2415,82.37925,70.333,53.055,71.684,89.753,63.3335,75.50779999999999,49.5305,76.33600000000001,67.5175,72.50625000000001,73.085,61.92025,79.4045,60.8129741023536,80.981,80.209
57.5,50.0455,49.974,79.1765,69.6045,58.69925,69.31025,91.79525,64.91075000000001,76.695,55.215,74.138,65.022,68.24350000000001,69.3485,60.9135,73.57075,59.6164801813286,77.42675,81.42825
58.0,47.394,50.7065,75.97375,68.876,64.3435,66.9365,93.8375,66.488,68.16333333333333,60.8995,71.94,62.5265,63.98075,65.612,59.90675,67.737,59.11881961078335,73.8725,82.64750000000001
59.0,56.23925,51.439,72.771,68.1475,69.98775,64.56275,95.87975,68.26875,59.63166666666666,66.584,69.742,60.031,59.718,61.8755,58.9,64.43975,58.6211590402381,70.31824999999999,83.86675
60.0,65.0845,58.03675,68.31025,67.419,75.632,62.189,97.922,70.0495,51.1,61.49525,85.86225,59.07125,75.3735,58.139,88.299,61.1425,59.4548628495674,66.764,85.086
60.5,73.92975000000001,64.6345,63.8495,74.457,68.77000000000001,65.0765,96.36825,71.83025,69.83625,56.4065,101.98250000000002,58.1115,91.029,58.076,117.698,57.84525,60.2885666588967,66.222,80.52975
61.0,82.775,71.23225,59.38875,81.495,61.908,67.964,94.8145,73.611,88.57249999999999,51.31775,118.10275,57.15175,106.6845,58.013000000000005,147.097,54.548,57.44537899105904,65.68,75.9735
62.0,71.396,77.83,54.928,88.533,55.046,70.8515,93.26075,68.358,107.30875,46.229,134.223,56.192,122.34,57.95,176.496,55.83325,54.6021913232214,65.138,71.41725
63.0,60.017,93.0145,55.158,95.571,48.184,73.739,91.707,63.105,126.045,60.194,128.5415,54.1235,114.3565,57.887,152.52875,57.1185,53.4531388680288,64.596,66.861
63.5,48.638000000000005,108.199,55.388,93.65925,50.53775,101.5525,86.68033333333332,57.852,122.4405,74.15899999999999,122.86,52.055,106.373,71.42525,128.5615,58.40375,52.3040864128362,63.6595,72.61775
64.0,37.259,123.3835,55.618,91.7475,52.89149999999999,129.366,81.65366666666667,52.599,118.836,88.124,117.1785,49.9865,98.3895,84.96350000000001,104.59425,59.689,82.1553041487946,62.723,78.37450000000001
65.0,43.13375,138.568,55.848,89.83575,55.24525,157.1795,76.627,57.6235,115.2315,102.089,111.497,47.918,90.406,98.50175,80.627,65.4915,112.006521884753,61.7865,84.13125000000001
66.0,49.0085,121.0155,63.78675,87.924,57.599,184.993,71.60033333333332,62.648,111.627,101.4725,108.772,51.91575,105.18425,112.04,76.1845,71.294,114.707512607696,60.85,89.888
66.5,54.88325,103.463,71.7255,98.23125,64.57249999999999,154.6655,66.57366666666667,67.6725,104.73,100.856,106.047,55.9135,119.9625,107.67425,71.74199999999999,77.09649999999999,117.408503330639,65.651,81.742
67.0,60.758,85.91050000000001,79.66425,108.5385,71.54599999999999,124.338,61.547,72.697,97.833,100.2395,103.322,59.91125,134.74075,103.3085,67.2995,82.899,105.9388368708169,70.452,73.596
68.0,59.22325,68.358,87.603,118.84575,78.5195,94.0105,69.1895,66.71275,90.936,99.623,100.597,63.909,149.519,98.94275,62.857,80.758,94.4691704109948,75.253,65.45
69.0,57.688500000000005,65.3415,85.919,129.153,85.493,63.683,76.832,60.7285,84.039,103.35675,94.32425,60.32875,130.65225,94.577,62.856,78.61699999999999,86.5697010135231,80.054,57.304
69.5,56.15375,62.325,84.235,123.11375,78.38074999999999,62.622,84.4745,54.74425,84.54725,107.0905,88.0515,56.7485,111.7855,105.7945,62.855,76.476,78.6702316160514,102.46525,63.95325
70.0,54.619,59.3085,82.551,117.0745,71.26849999999999,61.561,92.117,48.76,85.0555,110.82425,81.77875,53.16825,92.91875,117.012,62.854,74.335,86.12663960326054,124.8765,70.60249999999999
71.0,56.70375,56.292,80.867,111.03525,64.15625,60.5,80.3425,49.647,85.56375,114.558,75.506,49.588,74.052,128.2295,62.853,81.99025,93.5830475904697,147.28775000000002,77.25175
72.0,58.7885,56.48275,84.26375,104.996,57.044,59.439,68.568,50.534,86.072,101.724,75.292,56.184,73.07875000000001,139.447,64.308,89.6455,95.34135104290806,169.699,83.901
72.5,60.87325,56.6735,87.6605,96.1185,65.07775,60.9715,56.7935,51.421,81.57325,88.89,75.078,62.78,72.1055,117.82375,65.763,97.30075,97.0996544953464,148.22400000000002,96.88825
73.0,62.958,56.86425,91.05725,87.241,73.1115,62.504000000000005,45.019,52.308,77.0745,76.05600000000001,74.864,69.376,71.13225,96.2005,67.218,104.956,85.46953542680185,126.749,109.8755
74.0,111.39025,57.055,94.454,78.3635,81.14525,64.0365,46.7205,59.12925,72.57575,63.222,74.65,75.972,70.159,74.57725,68.673,95.25975,73.8394163582573,105.274,122.86275
75.0,159.8225,57.24575,113.9155,69.486,89.179,65.569,48.422,65.9505,68.077,66.7015,75.86575,74.465,73.61425,52.954,80.1275,85.5635,68.0775753007197,83.799,135.85
75.5,208.25475,57.4365,133.377,67.396,92.816,68.18725,50.1235,72.77175,71.542,70.181,77.0815,72.958,77.0695,52.78625,91.582,75.86725000000001,62.3157342431821,78.13850000000001,121.45225
76.0,256.687,57.62725,152.8385,65.306,96.453,70.8055,51.825,79.593,75.007,73.6605,78.29725,71.451,80.52475000000001,52.6185,103.0365,66.171,59.410071372993855,72.47800000000001,107.0545
77.0,212.40075,57.818,172.3,63.216,100.09,73.42375,51.727,70.0995,78.472,77.14,79.513,69.944,83.98,52.45075,114.491,68.0715,56.5044085028056,66.8175,92.65675
78.0,168.11450000000002,68.2495,154.259,61.126,103.727,76.042,51.629000000000005,60.606,81.937,71.5495,75.6515,64.99825,76.71600000000001,52.283,116.151,69.97200000000001,54.45273926470395,61.157,78.259
78.5,123.82825,78.681,136.21800000000002,59.7135,99.15725,72.9495,51.531,51.1125,82.481,65.959,71.78999999999999,60.0525,69.452,54.65025,117.811,71.8725,52.4010700266023,60.766,72.41125
79.0,79.542,89.1125,118.177,58.301,94.5875,69.857,51.433,41.619,83.025,60.3685,67.9285,55.106750000000005,62.188,57.0175,119.471,73.773,65.32042871297045,60.375,66.5635
80.0,78.193,99.544,100.136,56.8885,90.01774999999999,66.7645,65.8235,40.2475,83.569,54.778,64.067,50.161,54.924,59.38475,121.131,74.06925,78.2397873993386,59.984,60.71575
81.0,76.844,91.2335,91.10025,55.476,85.448,63.672,80.214,38.876000000000005,84.113,48.5375,59.321,66.45175,54.848,61.752,108.4595,74.3655,93.68575255250828,59.593,54.868
81.5,75.495,82.923,82.0645,55.27325,77.62225,76.4135,94.6045,37.5045,88.12325,42.297,54.575,82.7425,54.772,58.273,95.788,74.66175,109.131717705678,66.718,54.4295
82.0,74.146,74.61250000000001,73.02875,55.0705,69.7965,89.155,108.995,36.133,92.1335,36.0565,49.82899999999999,99.03325,54.696,54.794,83.1165,74.958,106.183069742488,73.843,53.991
83.0,70.5195,66.302,63.993,54.86775,61.97075,101.8965,102.60775,38.676,96.14375,29.816,45.083,115.324,54.62,51.315,70.445,70.46525,103.234421779298,80.968,53.5525
84.0,66.893,60.7685,63.14775,54.665,54.145,114.638,96.2205,41.219,100.154,35.866,57.9135,97.693,61.15275,47.836,69.00399999999999,65.9725,99.17150367689275,88.093,53.114
84.5,63.2665,55.235,62.3025,56.342,52.828500000000005,108.29675,89.83324999999999,43.762,95.33,41.916,70.744,80.062,67.6855,52.9235,67.56299999999999,61.47975,95.1085855744875,81.7275,62.41
85.0,59.64,49.7015,61.45725,58.019,51.512,101.9555,83.446,46.305,90.506,47.966,83.5745,62.431,74.21825000000001,58.011,66.122,56.987,82.92940364143755,75.362,71.706
86.0,61.52825,44.168,60.612,59.696,50.1955,95.61425,80.89125,45.04075,85.682,54.016,96.405,44.8,80.751,63.0985,64.681,60.78825,70.7502217083876,68.9965,81.00200000000001
87.0,63.4165,41.93325,75.186,61.373,48.879,89.273,78.3365,43.7765,80.858,48.86925,91.41025,54.5435,89.066,68.186,62.25475,64.5895,65.25561055076756,62.631,90.298
87.5,65.30475,39.6985,89.76,59.268125,62.67075,88.031,75.78175,42.51225,68.337,43.7225,86.41550000000001,64.287,97.381,73.40675,59.8285,68.39075,59.7609993931475,60.619,85.4345
88.0,67.193,37.46375,104.334,57.16325,76.4625,86.789,73.227,41.248,55.816,38.57575,81.42075,74.0305,105.696,78.6275,57.40225,72.192,61.396735811767854,58.607,80.571
89.0,69.22075,35.229,118.908,55.058375,90.25425,85.547,70.94,49.3775,43.295,33.429,76.426,83.774,114.011,83.84825000000001,54.976,65.181,63.0324722303882,56.595,75.7075
90.0,71.2485,36.3305,105.7745,52.9535,104.046,84.305,68.65299999999999,57.507000000000005,30.774,35.4345,82.08175,78.71625,104.14125,89.069,52.571,58.17,63.1900924091131,54.583,70.844
90.5,73.27625,37.432,92.641,50.848625,83.4085,80.1135,66.366,65.63650000000001,38.0225,37.44,87.73750000000001,73.6585,94.2715,82.464,50.166,51.159,63.347712587838,57.601,65.047
91.0,75.304,38.5335,79.5075,48.74375,62.771,75.922,64.079,73.766,45.271,39.4455,93.39325,68.60075,84.40174999999999,75.85900000000001,47.761,44.148,64.27916706328885,60.619,59.25
92.0,70.676,39.635,66.374,46.638875,42.1335,71.7305,63.56725,67.61250000000001,52.5195,41.451,99.049,63.543,74.532,69.254,45.356,49.087500000000006,65.2106215387397,63.637,53.453
93.0,66.048,53.491,58.68975,44.534,21.496,67.539,63.0555,61.459,59.768,43.4565,94.49075,67.3805,70.61274999999999,62.649,43.1065,54.027,63.723224850913056,66.655,47.656
93.5,61.42,67.347,51.0055,51.664,29.82275,60.367,62.54375,55.3055,57.00525,45.462,89.9325,71.218,66.6935,58.5135,40.857,58.9665,62.2358281630864,66.30199999999999,50.96975
94.0,56.792,81.203,43.32125,58.794,38.1495,53.195,62.032,49.152,54.2425,47.4675,85.37425,75.0555,62.77425,54.378,38.6075,63.906,61.59541164284956,65.949,54.2835
95.0,56.24525,95.059,35.637,65.924,46.47625,46.023,60.3375,48.982,51.47975,49.473,80.816,78.893,58.855,50.2425,36.358,63.144,60.9549951226127,65.596,57.59725
96.0,55.6985,90.53725,33.38425,73.054,54.803,38.851,58.643,48.812,48.717,51.34375,76.25775,78.56,62.9085,46.107,44.46875,62.382,59.8781114005889,65.243,60.911
96.5,55.15175,86.0155,31.131500000000003,76.37775,54.63025,52.541,56.9485,48.642,53.88725,53.2145,71.6995,78.227,66.962,44.0495,52.5795,61.62,58.8012276785651,64.922,58.9225
97.0,54.605,81.49374999999999,28.87875,79.70150000000001,54.4575,66.231,55.254,48.472,59.0575,55.08525,67.14125,77.894,71.0155,41.992,60.69025,60.858,59.48655741702035,64.601,56.934
98.0,51.71925,76.972,26.626,83.02525,54.28475,79.921,55.002,50.5225,64.22775,56.956,62.583,77.561,75.069,39.9345,68.801,63.38425,60.1718871554756,64.28,54.9455
99.0,48.8335,75.47749999999999,34.48425,86.349,54.112,93.611,54.75,52.573,69.398,55.71075,60.88325,77.92425,71.5915,37.877,67.11275,65.9105,60.824617551816,63.959,52.957
99.5,45.94775,73.983,42.3425,94.84475,54.18225,95.388,54.498000000000005,54.6235,64.08324999999999,54.465500000000006,59.1835,78.2875,68.114,42.255750000000006,65.4245,68.43674999999999,61.4773479481564,72.04175000000001,53.553
100.0,43.062,72.4885,50.20075,103.3405,54.2525,97.165,54.246,56.674,58.7685,53.22025,57.48375,78.65075,64.6365,46.6345,63.73625,70.963,62.13907863393225,80.12450000000001,54.149
101.0,52.4425,70.994,58.059,111.83625,54.32275,98.942,53.61925,58.371,53.45375,51.975,55.784,79.014,61.159,51.01325,62.048,65.19149999999999,62.8008093197081,88.20725,54.745000000000005
102.0,61.823,72.8395,57.9665,120.332,54.393,100.719,52.9925,60.068,48.139,50.97625,53.13425,73.10625,72.04975,55.392,62.0735,59.42,60.112347714876805,96.29,55.341
